,OBJECTID,ID,T_PUNTO,COD_SGC,CONSECUTIV,DEPTO_LOC,MUN_LOC,VER_LOC,SITIO_LOC,E_PTO,N_PTO,Z_PTO,MET_COTA,U_GEOL,COND_SECO,COND_HUM,LONGITUD,LATITUD
307,486,289,Pozo,108-II-B-8,8,Santander,Sabana de Torres,Km 80,Casa de las Flores,1045043.0,1319693.0,70.0,DEM,Qal,0.0,30.11,-73.66942707442549,7.486889706549367
308,487,290,Pozo,108-II-B-9,9,Santander,Sabana de Torres,Veracruz,Km 80,1046157.0,1319370.0,76.0,DEM,Qal,0.0,35.5,-73.65933741406307,7.483959705631496
309,488,291,Aljibe,108-II-B-10,10,Santander,Sabana de Torres,,,1046102.0,1317121.0,108.552997,DEM,N1r,0.0,39.0,-73.65985500980543,7.463624907774272
310,489,292,Pozo,108-II-B-11,11,Santander,Sabana de Torres,Km 80,Villa Santi,1046384.0,1315819.0,118.698861,DEM,N1r,0.0,55.27,-73.65731155523967,7.451849905943071
311,490,293,Manantial,108-II-B-12,12,Santander,Sabana de Torres,,,1045872.0,1315539.0,118.305324,DEM,N1r,0.0,12.73,-73.66195210601899,7.449322545039859
312,491,294,Aljibe,108-II-A-4,4,Santander,Sabana de Torres,Campo Tigre,,1042061.0,1314700.0,123.38488,DEM,N1r,0.0,55.96,-73.69648207360407,7.441767390405766
313,492,295,Superficial,108-II-A-5,5,Santander,Sabana de Torres,Campo Tigre,Salva Progreso,1039195.0,1313987.0,78.036483,DEM,N1r,0.0,47.98,-73.7224496728966,7.435342006218169
314,493,296,Aljibe,108-II-A-6,6,Santander,Sabana de Torres,Campo Tigre,Estacion Jose Celestino Mutis,1037091.0,1310781.0,62.310501,DEM,Qal,0.0,40.69,-73.74153107746541,7.406368125995305
315,494,297,Pozo,108-II-A-7,7,Santander,Sabana de Torres,Campo Tigre,El Recreo,1038392.0,1311997.0,59.95816,DEM,Qal,0.0,214.0,-73.72973791033687,7.4173541692616025
316,495,298,Aljibe,108-II-A-8,8,Santander,Sabana de Torres,Campo Tigre,Futuro,1040696.0,1310882.0,71.212869,DEM,Qal,0.0,93.43,-73.70887603153311,7.407255530682329
317,496,299,Aljibe,108-II-A-9,9,Santander,Sabana de Torres,Campo Tigre,Finca San Martin,1042317.0,1317002.0,84.0,DEM,N1r,0.0,96.88,-73.69414493701413,7.462579990492602
318,497,300,Aljibe,108-II-A-10,10,Santander,Sabana de Torres,Campo Tigre,Finca Napoles,1042614.0,1319223.0,66.182102,DEM,Qal,0.0,87.88,-73.69143673014388,7.482659824494598
319,498,301,Pozo,108-II-A-11,11,Santander,Sabana de Torres,Campo Tigre,Finca casa de Zinc,1042056.0,1317698.0,79.015347,DEM,N1r,0.0,32.93,-73.69650393419626,7.468875239486898
320,499,302,Aljibe,108-II-A-12,12,Santander,Sabana de Torres,Campo Tigre,Campo Tigre,1042019.0,1318592.0,65.514859,DEM,Qal,0.0,71.89,-73.69683213004336,7.4769590388618115
321,500,303,Manantial,108-II-A-13,13,Santander,Sabana de Torres,Campo Tigre,Finca Sultana,1040224.0,1317507.0,112.669474,DEM,N1r,0.0,35.55,-73.71310203198476,7.467162228792613
322,501,304,Aljibe,108-II-A-14,14,Santander,Sabana de Torres,Campo Tigre,Campo Tigre,1042184.0,1315588.0,112.800617,DEM,N1r,0.0,85.52,-73.69536089458714,7.4497956980832
323,502,305,Manantial,108-II-A-15,15,Santander,Sabana de Torres,Campo Tigre,Campo Tigre,1042177.0,1315604.0,110.659536,DEM,N1r,0.0,12.27,-73.69542418165888,7.449940424266778
324,503,306,Pozo,108-II-A-16,16,Santander,Sabana de Torres,Campo Tigre,Finca Capitolio,1041970.0,1315200.0,115.0,DEM,N1r,0.0,23.5,-73.69730252585289,7.446289083421994
325,504,307,Pozo,108-II-A-17,17,Santander,Sabana de Torres,Campo Tigre,Finca la Esmeralda,1040761.0,1315924.0,83.84198,DEM,N1r,0.0,30.93,-73.70824919483458,7.452844742242246
326,505,308,Aljibe,108-II-A-18,18,Santander,Sabana de Torres,Campo Tigre,Campo Tigre,1038467.0,1313693.0,66.897985,DEM,N1r,0.0,160.5,-73.72904646459614,7.432688886180615
327,506,309,Aljibe,108-II-A-19,19,Santander,Sabana de Torres,Campo Tigre,Escuela El Bambu,1038790.0,1312981.0,69.836454,DEM,N1r,0.0,118.4,-73.72612565289764,7.426248670993165
