LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"116","4139",0.0327393979,886.0084785600,-73.3003208850,8.6328677790,1351.0000000000
"116","4140",0.0346454423,1093.0084786000,-73.3011208880,8.6345978080,1144.0000000000
"116","4141",0.0363182285,1093.0101514000,-73.3020209010,8.6360078400,1144.0000000000
"117","4142",0.0000000000,0.0000000000,-73.3168997240,8.7634897200,1161.0000000000
"117","4143",0.0000500034,0.0000500034,-73.3168697210,8.7634497180,1161.0000000000
"117","4144",0.0029942144,0.0029942144,-73.3154697140,8.7608596680,1161.0000000000
"117","4145",0.0070494282,34.0029944560,-73.3135096890,8.7573095890,1127.0000000000
"117","4146",0.0097680720,82.0029945330,-73.3124896880,8.7547895450,1175.0000000000
"117","4147",0.0131831833,121.0029946800,-73.3108396800,8.7517994850,1214.0000000000
"117","4148",0.0179124272,125.0029974800,-73.3079196260,8.7480794000,1218.0000000000
"117","4149",0.0199266699,125.0050117200,-73.3066096040,8.7465493620,1218.0000000000
"117","4150",0.0237743624,299.0050117600,-73.3039495480,8.7437692830,1044.0000000000
"117","4151",0.0276013661,341.0050119400,-73.3011694960,8.7411392130,1086.0000000000
"117","4152",0.0313208333,365.0050122300,-73.2985394440,8.7385091440,1110.0000000000
"117","4153",0.0350676042,430.0050123300,-73.2963494060,8.7354690740,1175.0000000000
"117","4154",0.0387739083,565.0050123900,-73.2941593760,8.7324790140,1040.0000000000
"117","4155",0.0416431990,565.0078816800,-73.2926993530,8.7300089610,1040.0000000000
"117","4156",0.0450012636,620.0078817800,-73.2909893380,8.7271189010,1095.0000000000
"118","4157",0.0000000000,0.0000000000,-73.0716597600,8.9071884100,378.0000000000
"118","4158",0.0027475751,0.0027475751,-73.0713497870,8.9044583760,378.0000000000
"118","4159",0.0043871422,44.0027476060,-73.0709497940,8.9028683490,334.0000000000
"118","4160",0.0075958250,66.0027478400,-73.0696197850,8.8999482940,312.0000000000
"118","4161",0.0107757688,66.0059277830,-73.0682297770,8.8970882380,312.0000000000
"118","4162",0.0135000849,82.0059280150,-73.0667697630,8.8947881820,328.0000000000
"118","4163",0.0161173499,149.0059280700,-73.0653997420,8.8925581330,261.0000000000
"118","4164",0.0202230371,153.0059301700,-73.0635997340,8.8888680600,257.0000000000
"118","4165",0.0236442170,308.0059302100,-73.0623897390,8.8856680000,412.0000000000
"118","4166",0.0262514731,355.0059302800,-73.0616497430,8.8831679620,459.0000000000
"118","4167",0.0300391529,355.0097179600,-73.0608397680,8.8794679000,459.0000000000
"118","4168",0.0325769789,392.0097180500,-73.0605397940,8.8769478650,496.0000000000
"118","4169",0.0367463755,479.0097181500,-73.0603889390,8.8727811983,409.0000000000
"118","4170",0.0375503082,479.0105220800,-73.0603598520,8.8719777920,409.0000000000
"118","4171",0.0400243047,584.0105221100,-73.0602198850,8.8695077580,304.0000000000
"124","4172",0.0000000000,0.0000000000,-73.1747264190,7.0547572120,731.0000000000
"124","4173",0.0029806902,22.0000002020,-73.1727263740,7.0525471590,753.0000000000
"124","4174",0.0047130595,22.0017325710,-73.1716163610,7.0512171310,753.0000000000
