,LINE_ID,X,Y,Z,Compañia,Estado,INFO,Campo
97,1,-73.930153417,7.0375141484,68.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
98,1,-73.927943739,7.041680815,66.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
99,1,-73.925734061,7.0458474817,65.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
100,1,-73.923524382,7.0500141484,65.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
101,1,-73.921314704,7.054180815,66.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
102,1,-73.919105026,7.0583474817,68.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
103,1,-73.916895348,7.0625141484,67.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
104,1,-73.914685669,7.066680815,70.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
105,1,-73.912475991,7.0708474817,72.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
106,1,-73.910470563,7.074629005,72.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
107,1,-73.906303896,7.0780747653,73.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
108,1,-73.90213723,7.0815205256,71.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
109,2,-73.462611111,7.4046161936,106.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
110,2,-73.458510925,7.4004495269,106.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
111,2,-73.45441074,7.3962828602,109.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
112,2,-73.450310555,7.3921161936,120.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
113,2,-73.447683453,7.3894464957,143.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
114,2,-73.44720411,7.385279829,129.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
115,2,-73.446724767,7.3811131623,130.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
116,2,-73.446245423,7.3769464957,129.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
117,2,-73.44576608,7.372779829,132.0,ECOPETROLS.A.,PRODUCCIÓN,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1",PROVINCIA SUR
