OBJECTID;TOPE_CHORROS_WGS84_tif;X;Y;TOPE_CHORROS_WGS84_Band_1
175;-1758;-73,768949314224400;7,821440904144671;-1758,5706787
176;-1848;-73,759245097951307;7,821440904144671;-1848,4163818
177;-1936;-73,749540881678215;7,821440904144671;-1936,0914307
178;-2018;-73,739836665405122;7,821440904144671;-2018,4276123
179;-2093;-73,730132449132029;7,821440904144671;-2093,7407227
180;-2166;-73,720428232858936;7,821440904144671;-2166,6115723
181;-2239;-73,710724016585843;7,821440904144671;-2239,5346680
182;-2307;-73,701019800312750;7,821440904144671;-2307,0700684
183;-2364;-73,691315584039657;7,821440904144671;-2364,0239258
184;-2397;-73,681611367766564;7,821440904144671;-2397,8923340
185;-2411;-73,671907151493471;7,821440904144671;-2411,8168945
186;-2422;-73,662202935220378;7,821440904144671;-2422,9533691
187;-2449;-73,652498718947285;7,821440904144671;-2449,4394531
188;-2484;-73,642794502674192;7,821440904144671;-2484,6853027
189;-2516;-73,633090286401099;7,821440904144671;-2516,9462891
190;-2541;-73,623386070128007;7,821440904144671;-2541,2270508
191;-2558;-73,613681853854914;7,821440904144671;-2558,8637695
192;-1316;-73,836878828136065;7,811736687871578;-1316,8601074
193;-1357;-73,827174611862972;7,811736687871578;-1357,0797119
194;-1406;-73,817470395589879;7,811736687871578;-1406,0747070
195;-1466;-73,807766179316786;7,811736687871578;-1466,3308105
196;-1538;-73,798061963043693;7,811736687871578;-1538,7192383
197;-1621;-73,788357746770600;7,811736687871578;-1621,8790283
198;-1707;-73,778653530497493;7,811736687871578;-1707,4433594
199;-1797;-73,768949314224400;7,811736687871578;-1797,8658447
200;-1889;-73,759245097951307;7,811736687871578;-1889,4632568
201;-1978;-73,749540881678215;7,811736687871578;-1978,3647461
202;-2061;-73,739836665405122;7,811736687871578;-2061,0668945
203;-2131;-73,730132449132029;7,811736687871578;-2131,4824219
204;-2195;-73,720428232858936;7,811736687871578;-2195,2622070
205;-2282;-73,710724016585843;7,811736687871578;-2282,3593750
206;-2361;-73,701019800312750;7,811736687871578;-2361,6896973
207;-2409;-73,691315584039657;7,811736687871578;-2409,6777344
208;-2423;-73,681611367766564;7,811736687871578;-2423,8427734
209;-2410;-73,671907151493471;7,811736687871578;-2410,3913574
