OBJECTID;BASE_CUATERNARIO_WGS84_tif;X;Y;BASE_CUATERNARIO_WGS84_Band_1
416;-32;-73,773681918196445;8,361666285573726;-32,0927887
417;-34;-73,766198335435973;8,361666285573726;-34,6613693
418;-39;-73,758714752675488;8,361666285573726;-39,5068359
419;-43;-73,751231169915016;8,361666285573726;-43,2238388
420;-46;-73,743747587154544;8,361666285573726;-46,9440384
421;-49;-73,736264004394073;8,361666285573726;-49,5088463
422;-50;-73,728780421633601;8,361666285573726;-50,2751312
423;-50;-73,721296838873116;8,361666285573726;-50,0359802
424;-51;-73,713813256112644;8,361666285573726;-51,2603722
425;-49;-73,706329673352172;8,361666285573726;-49,5507507
426;-45;-73,698846090591701;8,361666285573726;-45,2775612
427;-40;-73,691362507831229;8,361666285573726;-40,4420547
428;-19;-73,683878925070744;8,361666285573726;-19,0544739
429;-8;-73,676395342310272;8,361666285573726;-8,7381668
430;13;-73,668911759549800;8,361666285573726;13,6738272
431;32;-73,661428176789329;8,361666285573726;32,9536285
432;49;-73,653944594028857;8,361666285573726;49,5091476
433;56;-73,646461011268372;8,361666285573726;56,3027725
434;88;-73,638977428507900;8,361666285573726;88,2837372
435;106;-73,631493845747428;8,361666285573726;106,0276184
436;117;-73,624010262986957;8,361666285573726;117,1450729
437;132;-73,616526680226471;8,361666285573726;132,5720978
438;138;-73,609043097465999;8,361666285573726;138,8702850
439;143;-73,601559514705528;8,361666285573726;143,9663849
440;15;-73,863484911322132;8,354182702813251;15,4573746
441;14;-73,856001328561661;8,354182702813251;14,3755159
442;13;-73,848517745801189;8,354182702813251;13,3649292
443;8;-73,841034163040717;8,354182702813251;8,4810829
444;6;-73,833550580280246;8,354182702813251;6,3416481
445;1;-73,826066997519760;8,354182702813251;1,0766640
446;-3;-73,818583414759289;8,354182702813251;-3,0672531
447;-6;-73,811099831998817;8,354182702813251;-6,9741859
448;-11;-73,803616249238345;8,354182702813251;-11,1958008
449;-14;-73,796132666477874;8,354182702813251;-14,1649780
450;-17;-73,788649083717388;8,354182702813251;-17,9676018
451;-21;-73,781165500956917;8,354182702813251;-21,1578751
452;-27;-73,773681918196445;8,354182702813251;-27,6853809
453;-31;-73,766198335435973;8,354182702813251;-31,5837479
454;-36;-73,758714752675488;8,354182702813251;-36,2365074
455;-43;-73,751231169915016;8,354182702813251;-43,3600922
456;-44;-73,743747587154544;8,354182702813251;-44,7805824
457;-46;-73,736264004394073;8,354182702813251;-46,9222527
458;-46;-73,728780421633601;8,354182702813251;-46,6997643
459;-42;-73,721296838873116;8,354182702813251;-42,2933884
460;-40;-73,713813256112644;8,354182702813251;-40,3400841
461;-41;-73,706329673352172;8,354182702813251;-41,1847992
462;-44;-73,698846090591701;8,354182702813251;-44,7445831
463;-49;-73,691362507831229;8,354182702813251;-49,5484924
464;-52;-73,683878925070744;8,354182702813251;-52,0365562
465;-36;-73,676395342310272;8,354182702813251;-36,7581444
466;1;-73,668911759549800;8,354182702813251;1,9692993
467;27;-73,661428176789329;8,354182702813251;27,4880943
468;3;-73,653944594028857;8,354182702813251;3,8861313
469;-20;-73,646461011268372;8,354182702813251;-20,3589935
470;27;-73,638977428507900;8,354182702813251;27,9931335
471;61;-73,631493845747428;8,354182702813251;61,1239395
472;102;-73,624010262986957;8,354182702813251;102,1342773
473;142;-73,616526680226471;8,354182702813251;142,5003662
474;178;-73,609043097465999;8,354182702813251;178,4428101
475;232;-73,601559514705528;8,354182702813251;232,4994507
476;187;-73,594075931945056;8,354182702813251;187,3343658
477;15;-73,863484911322132;8,346699120052778;15,4573746
478;14;-73,856001328561661;8,346699120052778;14,3755159
479;13;-73,848517745801189;8,346699120052778;13,3649292
480;8;-73,841034163040717;8,346699120052778;8,4810829
481;6;-73,833550580280246;8,346699120052778;6,3416481
482;1;-73,826066997519760;8,346699120052778;1,0766640
483;-3;-73,818583414759289;8,346699120052778;-3,0672531
484;-6;-73,811099831998817;8,346699120052778;-6,9741859
485;-11;-73,803616249238345;8,346699120052778;-11,1958008
486;-14;-73,796132666477874;8,346699120052778;-14,1649780
487;-17;-73,788649083717388;8,346699120052778;-17,9676018
488;-21;-73,781165500956917;8,346699120052778;-21,1578751
489;-27;-73,773681918196445;8,346699120052778;-27,6853809
490;-31;-73,766198335435973;8,346699120052778;-31,5837479
