OBJECTID;TOPE_MUGROSA_WGS84_tif;X;Y;TOPE_MUGROSA_WGS84_Band_1
244;-1952;-73,682469152200611;7,879663544528588;-1952,3704834
245;-2026;-73,672787880015676;7,879663544528588;-2026,7532959
246;-2104;-73,663106607830755;7,879663544528588;-2104,8129883
247;-2163;-73,653425335645835;7,879663544528588;-2163,4658203
248;-2230;-73,643744063460915;7,879663544528588;-2230,7287598
249;-2299;-73,634062791275994;7,879663544528588;-2299,2614746
250;-2364;-73,624381519091074;7,879663544528588;-2364,6164551
251;-2417;-73,614700246906153;7,879663544528588;-2417,3833008
252;-2442;-73,605018974721233;7,879663544528588;-2442,9658203
253;-2425;-73,595337702536312;7,879663544528588;-2425,3657227
254;-269;-73,934182229008570;7,869982272343667;-269,7391357
255;-313;-73,924500956823650;7,869982272343667;-313,6290894
256;-360;-73,914819684638729;7,869982272343667;-360,5056763
257;-410;-73,905138412453809;7,869982272343667;-410,0183105
258;-461;-73,895457140268874;7,869982272343667;-461,6756592
259;-514;-73,885775868083954;7,869982272343667;-514,9747925
260;-569;-73,876094595899033;7,869982272343667;-569,6981201
261;-625;-73,866413323714113;7,869982272343667;-625,8840332
262;-678;-73,856732051529193;7,869982272343667;-678,7722168
263;-734;-73,847050779344272;7,869982272343667;-734,1333008
264;-793;-73,837369507159352;7,869982272343667;-793,1856689
265;-856;-73,827688234974431;7,869982272343667;-856,4342651
266;-923;-73,818006962789511;7,869982272343667;-923,9910889
267;-995;-73,808325690604590;7,869982272343667;-995,7310791
268;-1071;-73,798644418419670;7,869982272343667;-1071,2905273
269;-1149;-73,788963146234735;7,869982272343667;-1149,5506592
270;-1233;-73,779281874049815;7,869982272343667;-1233,4863281
271;-1317;-73,769600601864894;7,869982272343667;-1317,9761963
272;-1402;-73,759919329679974;7,869982272343667;-1402,1533203
273;-1484;-73,750238057495054;7,869982272343667;-1484,3222656
274;-1562;-73,740556785310133;7,869982272343667;-1562,8248291
275;-1636;-73,730875513125213;7,869982272343667;-1636,7325439
276;-1706;-73,721194240940292;7,869982272343667;-1706,3575439
277;-1773;-73,711512968755372;7,869982272343667;-1773,4047852
278;-1840;-73,701831696570451;7,869982272343667;-1840,2159424
