LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,Id_2,Campo,Compañia,Estado,Info_hidro,INFO
"6","351",0.0801048908,34.0132671860,-73.5357498820,8.1064796309,122.0000000000,"11",LOS ANGELES,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"6","361",0.1188035033,69.0142784920,-73.5399167970,8.0680060109,103.0000000000,"11",LOS ANGELES,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"6","376",0.1783023131,101.0155122900,-73.5994152020,8.0682253756,71.0000000000,"11",LOS ANGELES,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"7","391",0.0000000000,0.0000000000,-73.6744545940,8.2977863571,90.0000000000,"12",BUTURAMA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"7","393",0.0100708345,18.0000037600,-73.6680372410,8.2900249595,82.0000000000,"12",BUTURAMA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"7","395",0.0165793385,19.0022509440,-73.6694633190,8.2836746111,83.0000000000,"12",BUTURAMA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"7","400",0.0344490166,50.0025390080,-73.6751676330,8.2667398479,66.0000000000,"12",BUTURAMA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"7","404",0.0498253241,57.0025671210,-73.6880023380,8.2582721936,61.0000000000,"12",BUTURAMA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"7","407",0.0612934839,63.0044703660,-73.6979848870,8.2639173167,55.0000000000,"12",BUTURAMA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"7","414",0.0907804251,86.0098211820,-73.6830110640,8.2893193703,74.0000000000,"12",BUTURAMA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"8","417",0.0000000000,0.0000000000,-73.6052897930,8.1869955889,99.0000000000,"13",TOTUMAL,ECOPETROLS.A.,PRODUCCIÓN,"0",
"8","419",0.0079694329,5.0000064763,-73.5974463620,8.1884071310,104.0000000000,"13",TOTUMAL,ECOPETROLS.A.,PRODUCCIÓN,"0",
"8","423",0.0222462423,11.0000255710,-73.5953072440,8.1742914850,102.0000000000,"13",TOTUMAL,ECOPETROLS.A.,PRODUCCIÓN,"0",
"8","426",0.0325308857,16.0016484340,-73.5981594010,8.1644102355,97.0000000000,"13",TOTUMAL,ECOPETROLS.A.,PRODUCCIÓN,"0",
"8","428",0.0398153288,21.0016544290,-73.6017245970,8.1580578745,92.0000000000,"13",TOTUMAL,ECOPETROLS.A.,PRODUCCIÓN,"0",
"8","430",0.0481514156,23.0016718690,-73.6095680280,8.1608811585,90.0000000000,"13",TOTUMAL,ECOPETROLS.A.,PRODUCCIÓN,"0",
"8","432",0.0544773821,25.0033352320,-73.6124201850,8.1665276667,92.0000000000,"13",TOTUMAL,ECOPETROLS.A.,PRODUCCIÓN,"0",
"9","437",0.0000000000,0.0000000000,-73.7286455710,8.0902930909,42.0000000000,"14",DOÑA MARIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"9","442",0.0180118516,7.0055138167,-73.7106528040,8.0894641680,49.0000000000,"14",DOÑA MARIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"9","445",0.0270534597,15.0062267180,-73.7106609760,8.0804225636,41.0000000000,"14",DOÑA MARIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"9","450",0.0464641156,29.0062455270,-73.7300716250,8.0804391084,39.0000000000,"14",DOÑA MARIA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","453",0.0000000000,0.0000000000,-73.6841994620,7.5376406368,59.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","455",0.0110465781,3.0000223036,-73.6765937110,7.5456518437,60.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","457",0.0171911103,6.0000320020,-73.6770690710,7.5517779606,63.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","459",0.0254874635,9.0000438233,-73.6699386790,7.5560190676,62.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","461",0.0331360831,10.0029151650,-73.6632836460,7.5522491968,61.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","463",0.0407356264,14.0029224640,-73.6642343650,7.5447093564,61.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","468",0.0639983503,18.0103983400,-73.6784951490,7.5263304453,63.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","473",0.0844876422,23.0146039210,-73.6989356050,7.5249166506,58.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","479",0.1100005469,26.0249081970,-73.7198514220,7.5103071692,59.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","481",0.1177550354,28.0273958680,-73.7246050160,7.5164337858,57.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","484",0.1291607575,31.0274193840,-73.7198514220,7.5268017092,56.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"10","489",0.1484746215,34.0326587730,-73.7027384810,7.5357556253,57.0000000000,"15",CRISTALINA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"11","494",0.0000000000,0.0000000000,-73.8334623310,7.5131348491,51.0000000000,"16",LAS GARZAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"11","495",0.0038319664,0.0038319664,-73.8296594560,7.5136061273,51.0000000000,"16",LAS GARZAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"11","496",0.0078891570,1.0038401967,-73.8258565800,7.5121922912,50.0000000000,"16",LAS GARZAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"11","498",0.0138060603,2.0050127630,-73.8287087370,7.5070081861,51.0000000000,"16",LAS GARZAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"11","500",0.0210369285,2.0122436312,-73.8353637690,7.5041804663,51.0000000000,"16",LAS GARZAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"11","502",0.0272166014,3.0142653180,-73.8415434420,7.5041804663,52.0000000000,"16",LAS GARZAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"11","503",0.0295730358,3.0166217524,-73.8415434420,7.5065369007,52.0000000000,"16",LAS GARZAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"12","505",0.0000000000,0.0000000000,-73.5564999790,7.7034946149,64.0000000000,"18",PAVAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"12","508",0.0120813389,5.0030238670,-73.5453950310,7.7082526500,63.0000000000,"18",PAVAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"12","510",0.0200347476,6.0066205250,-73.5430177040,7.7006628526,64.0000000000,"18",PAVAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"12","512",0.0267271192,9.0074525694,-73.5477712990,7.6959521014,61.0000000000,"18",PAVAS,ECOPETROLS.A.,PRODUCCIÓN,"0",
"13","515",0.0000000000,0.0000000000,-73.5397852600,7.6976008703,62.0000000000,"19",CACHIRA,ECOPETROLS.A.,PRODUCCIÓN,"0",
