OBJECTID;DISCORDANCIA_EOCENO_WGS84_tif;X;Y;DISCORDANCIA_EOCENO_WGS84_Band_1
278;-727;-73,719972882272472;8,247016215431277;-727,0361938
279;-745;-73,703428026973953;8,247016215431277;-745,8754272
280;-883;-73,686883171675433;8,247016215431277;-883,3956299
281;-915;-73,670338316376913;8,247016215431277;-915,7197876
282;-1028;-73,653793461078394;8,247016215431277;-1028,2446289
283;-1052;-73,637248605779874;8,247016215431277;-1052,5008545
284;-1093;-73,620703750481354;8,247016215431277;-1093,3768311
285;-1077;-73,604158895182834;8,247016215431277;-1077,3348389
286;-1003;-73,587614039884315;8,247016215431277;-1003,7220459
287;-897;-73,571069184585795;8,247016215431277;-897,8019409
288;-794;-73,554524329287290;8,247016215431277;-794,8560791
289;-716;-73,537979473988770;8,247016215431277;-716,2904053
290;40;-73,852331724660615;8,230471360132757;40,3719521
291;-54;-73,835786869362096;8,230471360132757;-54,7622566
292;-201;-73,819242014063576;8,230471360132757;-201,7707977
293;-201;-73,802697158765056;8,230471360132757;-201,7707977
294;-340;-73,786152303466537;8,230471360132757;-340,3531494
